"CRIM","ZN","INDUS","NOX","RM","AGE","RAD","TAX","PTRATIO","LSTAT","MEDV"
-5.06403607082337,4.24264068711928,0.837247524533702,1.36335470787303,284.241359375,277167.808,1,0.0581238193719096,3581.577,0.448110714948221,24
-3.60050234349652,0,1.95586047990848,1.46020415081142,264.732956461,491169.069,8,0.0642824346533225,5639.752,0.330770600827811,21.6
-3.60123494426189,0,1.95586047990848,1.46020415081142,370.920056625,228099.131,8,0.0642824346533225,5639.752,0.498135481386718,34.7
-3.43052321104398,0,0.779324876800998,1.47763531141385,342.706083992,96071.912,27,0.0671156055214024,6539.203,0.583211843519804,33.4
-2.67292439912684,0,0.779324876800998,1.47763531141385,365.065965523,159220.088,27,0.0671156055214024,6539.203,0.43314808182421,36.2
-3.51157043914353,0,0.779324876800998,1.47763531141385,265.847707,202262.003,27,0.0671156055214024,6539.203,0.438107954338324,28.7
-2.42712842806865,3.53553390593274,2.06305806242931,1.38144740998884,217.298593728,295408.296,125,0.0567047977123743,3511.808,0.2836380138987,22.9
-1.93412981051978,3.53553390593274,2.06305806242931,1.38144740998884,235.113600448,887503.681,125,0.0567047977123743,3511.808,0.228515472449515,27.1
-1.5547603511434,3.53553390593274,2.06305806242931,1.38144740998884,178.548654591,1e+06,125,0.0567047977123743,3511.808,0.182787562533778,16.5
-2.14157229714634,3.53553390593274,2.06305806242931,1.38144740998884,216.973458729,569722.789,125,0.0567047977123743,3511.808,0.274514025623014,18.9
-2.3668036653207,3.53553390593274,2.06305806242931,1.38144740998884,204.232410369,59319,125,0.0567047977123743,3511.808,0.252296896022997,21.7
-0.462416484558303,0,2.09679018001445,1.36335470787303,210.538685349,236029.032,64,0.057073014553535,9261,0.34794450031961,20.4
-0.449479693527584,0,2.09679018001445,1.36335470787303,226.534772736,603351.125,64,0.057073014553535,9261,0.312195270527231,18.2
-0.46618692214761,0,2.09679018001445,1.36335470787303,198.563433704,180362.125,64,0.057073014553535,9261,0.343604066372025,19.9
-0.243091189123906,0,2.09679018001445,1.36335470787303,214.921799,545338.513,64,0.057073014553535,9261,0.261086816662652,17.5
-0.219761775967802,0,2.09679018001445,1.36335470787303,162.413858816,49027.896,64,0.057073014553535,9261,0.292477690287062,20.2
-0.320480784203167,0,2.09679018001445,1.36335470787303,187.837175583,335702.375,64,0.057073014553535,9261,0.297745667087707,18.2
0.224574526979991,0,2.09679018001445,1.36335470787303,172.808693,944076.141,64,0.057073014553535,9261,0.218114051119841,13.6
-0.160121804898053,0,2.09679018001445,1.36335470787303,212.242007125,709732.288,64,0.057073014553535,9261,0.268898828370022,19.6
0.209020285867676,0,2.09679018001445,1.36335470787303,231.701815288,771095.213,64,0.057073014553535,9261,0.231125081760512,15.2
-0.0116374532441208,0,2.09679018001445,1.36335470787303,196.426902797,1e+06,64,0.057073014553535,9261,0.224280652008128,14.5
-0.17371073654606,0,2.09679018001445,1.36335470787303,175.521936799,629422.793,64,0.057073014553535,9261,0.246108414947426,13.9
-0.397630875999648,0,2.09679018001445,1.36335470787303,196.426902797,736314.327,64,0.057073014553535,9261,0.259849850167371,16.6
-0.0452379806501943,0,2.09679018001445,1.36335470787303,221.115865823,700227.072,64,0.057073014553535,9261,0.240562612162344,14.8
-0.257489167089002,0,2.09679018001445,1.36335470787303,273.991737375,841232.384,64,0.057073014553535,9261,0.279508497187474,18.4
0.00244700364305185,0,2.09679018001445,1.36335470787303,297.275150024,665338.617,64,0.057073014553535,9261,0.288915998328494,21
0.122934190094978,0,2.09679018001445,1.36335470787303,186.463002097,833237.621,64,0.057073014553535,9261,0.210351580955836,12.7
0.30359479091183,0,2.09679018001445,1.36335470787303,223.869685248,1e+06,64,0.057073014553535,9261,0.276924387810856,14.5
0.327856657447708,0,2.09679018001445,1.36335470787303,210.644875,551368,64,0.057073014553535,9261,0.189968562804069,13.2
0.141256477175355,0,2.09679018001445,1.36335470787303,185.290487101,857375,64,0.057073014553535,9261,0.233443596627835,13.1
0.477984199611674,0,2.09679018001445,1.36335470787303,226.534772736,909853.209,64,0.057073014553535,9261,0.221730035079246,13.5
-2.74621946721971,0,1.78507048107726,1.41562990079754,208.844501237,317214.568,125,0.059868434008925,7077.888,0.321412173266612,18.9
-2.32851847502055,0,1.78507048107726,1.41562990079754,199.279038321,231475.544,125,0.059868434008925,7077.888,0.296044623208668,20
-2.52398017377414,0,1.78507048107726,1.41562990079754,200.201625,71473.375,125,0.059868434008925,7077.888,0.337676006726587,21
-1.74268363158146,0,1.78507048107726,1.41562990079754,212.348768696,27543.608,125,0.059868434008925,7077.888,0.314192111803347,24.7
-3.58885314004681,8.66025403784439,1.08180517035173,1.52854460128936,286.843094875,10360.232,27,0.0629940788348712,6128.487,0.481125224324688,30.8
-2.06010961338034,0,1.93296963777958,1.49403576166799,310.288733,24.389,27,0.0655121782080418,5735.339,0.454545454545455,26.6
-1.95545556189884,0,1.93296963777958,1.49403576166799,234.770924809,287.496,27,0.0655121782080418,5735.339,0.414869906822511,25.3
-1.83658948514585,0,1.93296963777958,1.49403576166799,239.598771931,274.625,27,0.0655121782080418,5735.339,0.366617787553383,24.7
